driver_trip,Move_Up_this_percent,Move_to_this_percentile
1_1,-35,0
1_18,-35,0
1_35,3,0
1_37,-30,0
1_48,-25,0
1_55,-25,0
1_70,-30,0
1_71,30,0
1_89,-30,0
1_92,-25,0
1_101,-35,0
1_105,-25,0
1_109,-35,0
1_114,-25,0
1_124,-30,0
1_125,-30,0
1_128,-30,0
1_132,-35,0
1_137,-35,0
1_140,-25,0
1_143,-30,0
1_151,-25,0
1_153,3,0
1_162,-25,0
1_172,-25,0
1_173,-35,0
1_188,-30,0
1_194,-25,0
10_2,-25,0
10_12,-35,0
10_18,3,0
10_26,-35,0
10_32,-25,0
10_34,30,0
10_45,-25,0
10_57,-25,0
10_63,30,0
10_64,-35,0
10_66,-25,0
10_68,3,0
10_73,3,0
10_81,3,0
10_87,-35,0
10_90,30,0
10_93,-30,0
10_99,-35,0
10_124,3,0
10_125,-25,0
10_129,3,0
10_144,3,0
10_149,-30,0
10_158,-25,0
10_169,1,0
10_180,-25,0
10_184,-25,0
10_185,30,0
10_190,-25,0
10_193,-30,0
10_195,3,0
100_7,-25,0
100_9,30,0
100_11,3,0
100_35,-25,0
100_38,-35,0
100_40,1,0
100_53,1,0
100_60,10,0
100_68,-25,0
100_79,-30,0
100_80,1,0
100_91,-30,0
100_98,-25,0
100_102,-25,0
100_104,-25,0
100_118,-25,0
100_120,-35,0
100_135,-25,0
100_155,3,0
100_165,3,0
100_170,-30,0
100_173,3,0
100_176,-25,0
100_179,-25,0
100_186,-25,0
100_200,40,0
1000_14,-25,0
1000_20,3,0
1000_29,10,0
1000_30,-30,0
1000_37,-30,0
1000_49,75,0
1000_50,-25,0
1000_59,-35,0
1000_63,40,0
1000_67,-35,0
1000_73,-25,0
1000_87,1,0
1000_88,-25,0
1000_95,-30,0
1000_103,3,0
1000_106,3,0
1000_112,-25,0
1000_123,-25,0
1000_140,3,0
1000_145,-25,0
1000_147,-25,0
1000_149,75,0
1000_150,-35,0
1000_164,40,0
1000_165,1,0
1000_168,-25,0
1000_182,3,0
1000_184,-25,0
1000_191,75,0
1001_7,3,0
1001_13,-35,0
1001_35,30,0
1001_36,30,0
1001_41,-30,0
1001_43,1,0
1001_47,-30,0
1001_48,3,0
1001_49,-25,0
1001_50,3,0
1001_53,-25,0
1001_55,-35,0
1001_59,3,0
1001_60,40,0
1001_62,-25,0
1001_67,-25,0
1001_78,-25,0
1001_84,3,0
1001_87,-25,0
1001_89,1,0
1001_92,1,0
1001_95,-25,0
